,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1149,componenti principali
2,"Energia,  Ric con fibra", kJ,1179,componenti principali
3,"Energia,  ricalcolata", kcal,271,componenti principali
4,"Energia,  Ric con fibra", kcal,279,componenti principali
5,Proteine totali, g,"5,6",componenti principali
6,   Proteine animali, g,"2,1",componenti principali
7,   Proteine vegetali, g,"3,4",componenti principali
8,Lipidi totali, g,"5,6",componenti principali
9,   Lipidi animali, g,"2,3",componenti principali
10,   Lipidi vegetali, g,"3,3",componenti principali
11,Colesterolo, mg,11,componenti principali
12,Carboidrati disponibili (MSE), g,"52,9",componenti principali
13,   Amido (MSE), g,"40,0",componenti principali
14,   Carboidrati solubili (MSE), g,"12,9",componenti principali
15,Fibra alimentare totale, g,"3,8",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"39,3",componenti principali
18,Ferro, mg,tr,minerali ed elementi in traccia
19,Calcio, mg,12,minerali ed elementi in traccia
20,Sodio, mg,986,minerali ed elementi in traccia
21,Potassio, mg,302,minerali ed elementi in traccia
22,Fosforo, mg,48,minerali ed elementi in traccia
23,Zinco, mg,"1,40",minerali ed elementi in traccia
24,"Vitamina B1,  Tiamina", mg,"0,20",vitamine idrosolubili
25,"Vitamina B2,  Riboflavina", mg,"0,19",vitamine idrosolubili
26,Vitamina C, mg,7,vitamine idrosolubili
27,Niacina, mg,"0,00",vitamine idrosolubili
28,Vitamina B6, mg,"0,18",vitamine idrosolubili
29,Folati totali, µg,52,vitamine idrosolubili
30,   Retinolo eq. (RE), µg,74,retinolo equivalente
31,   Retinolo, µg,32,retinolo equivalente
32,   ß-carotene eq., µg,256,retinolo equivalente
33,Vitamina E (ATE), mg,"1,28",retinolo equivalente
34,Vitamina D, µg,"0,02",retinolo equivalente
35,Acidi grassi saturi totali, g,"1,99",acidi grassi
36,Acidi grassi monoinsaturi totali, g,"2,84",acidi grassi
37,Acido oleico, g,"2,72",acidi grassi
38,Acidi grassi polinsaturi totali, g,"0,56",acidi grassi
39,Acido linoleico, g,"0,50",acidi grassi
40,Acido linolenico, g,"0,07",acidi grassi
41,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
