Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (120 ml),Gelato,Gelato e Sorbetto,Frozen desserts,Desserts,Frozen foods
Grassi,21 g,"25,2 g",+40%15 g,"+57%13,4 g","+64%12,8 g","+100%10,5 g","+104%10,3 g"
- Acidi Grassi saturi,13 g,"15,6 g","+25%10,4 g","+43%9,07 g","+50%8,67 g","+93%6,74 g","+137%5,48 g"
Carboidrati,30 g,36 g,"-4%31,1 g","-5%31,6 g","-8%32,5 g","+1%29,6 g","+6%28,4 g"
- Zuccheri,29 g,"34,8 g","+15%25,3 g","+18%24,6 g",+16%25 g,"+31%22,2 g","+179%10,4 g"
Proteine,"4,9 g","5,88 g","+21%4,04 g","+28%3,83 g","+30%3,76 g","+34%3,66 g","-36%7,65 g"
Sale,"0,2 g","0,24 g","+20%0,167 g","+23%0,163 g","+25%0,16 g","+48%0,135 g","-75%0,814 g"
Sodio,"0,079 g","0,094 g","+20%0,066 g","+23%0,064 g","+25%0,063 g","+48%0,053 g","-75%0,32 g"
Nutrition score - France,20,20,"+21%16,5",+33%15,"+36%14,7","+75%11,4","+110%9,54"
Nutri-Score,E,E,D,D,D,D,C
