,0,1,2,3
1,Proteine(%): 16.7,,,
2,Lisina:,1369,8.2,
3,Istidina:,486,2.91,
4,Arginina:,1116,6.68,
5,Acido aspartico:,1563,9.36,
6,Treonina:,788,4.72,
7,Serina:,690,4.13,
8,Acido glutamico:,2293,13.73,
9,Prolina:,893,5.35,
10,Glicina:,1029,6.16,
11,Alanina:,1035,6.2,
12,Cistina:,210,1.26,
13,Valina:,870,5.21,
14,Metionina:,481,2.88,
15,Isoleucina:,787,4.71,
16,Leucina:,1268,7.59,
17,Tirosina:,529,3.17,
18,Fenilalanina:,671,4.02,
19,Triptofano:,167,1,
20,Indice Chimico:,91,,
21,Aminoacido limitante:,Trip.,,
